wn	d((Ix(M1:Vd)-Ix(M2:Vd)))
2.370000000000000e-06	-9.422365e-02
2.380000000000000e-06	-9.313226e-02
2.390000000000000e-06	-9.240466e-02
2.400000000000000e-06	-9.131327e-02
2.410000000000000e-06	-9.058567e-02
2.420000000000000e-06	-8.949428e-02
2.430000000000000e-06	-8.840289e-02
2.440000000000000e-06	-8.767529e-02
2.450000000000000e-06	-8.694769e-02
2.460000000000000e-06	-8.585630e-02
2.470000000000000e-06	-8.512870e-02
2.480000000000000e-06	-8.440111e-02
2.490000000000000e-06	-8.330971e-02
2.500000000000000e-06	-8.258212e-02
2.510000000000000e-06	-8.167262e-02
2.520000000000000e-06	-8.076313e-02
2.530000000000000e-06	-8.021743e-02
2.540000000000000e-06	-7.948984e-02
2.550000000000000e-06	-7.858034e-02
2.560000000000000e-06	-7.785275e-02
2.570000000000000e-06	-7.712515e-02
2.580000000000000e-06	-7.639755e-02
2.590000000000000e-06	-7.585186e-02
2.600000000000000e-06	-7.512426e-02
2.610000000000000e-06	-7.421477e-02
2.620000000000000e-06	-7.366907e-02
2.630000000000000e-06	-7.294148e-02
2.640000000000000e-06	-7.203198e-02
2.650000000000000e-06	-7.148628e-02
2.660000000000000e-06	-7.094059e-02
2.670000000000000e-06	-7.039489e-02
2.680000000000000e-06	-7.003109e-02
2.690000000000000e-06	-6.912160e-02
2.700000000000000e-06	-6.839400e-02
2.710000000000000e-06	-6.803020e-02
2.720000000000000e-06	-6.730261e-02
2.730000000000000e-06	-6.657501e-02
2.740000000000000e-06	-6.584742e-02
2.750000000000000e-06	-6.548362e-02
2.760000000000000e-06	-6.511982e-02
2.770000000000000e-06	-6.439222e-02
2.780000000000000e-06	-6.366463e-02
2.790000000000000e-06	-6.293703e-02
2.800000000000000e-06	-6.257324e-02
2.810000000000000e-06	-6.220944e-02
2.820000000000000e-06	-6.184564e-02
2.830000000000000e-06	-6.111804e-02
2.840000000000000e-06	-6.039045e-02
2.850000000000000e-06	-6.002665e-02
2.860000000000000e-06	-5.966285e-02
2.870000000000000e-06	-5.929905e-02
2.880000000000000e-06	-5.857146e-02
2.890000000000000e-06	-5.820766e-02
2.900000000000000e-06	-5.784386e-02
2.910000000000000e-06	-5.711627e-02
2.920000000000000e-06	-5.638867e-02
2.930000000000000e-06	-5.602487e-02
2.940000000000000e-06	-5.602487e-02
2.950000000000000e-06	-5.566108e-02
2.960000000000000e-06	-5.493348e-02
2.970000000000000e-06	-5.420588e-02
2.980000000000000e-06	-5.384209e-02
2.990000000000000e-06	-5.384209e-02
3.000000000000000e-06	-5.347829e-02
3.010000000000000e-06	-5.275069e-02
3.020000000000000e-06	-5.202310e-02
3.030000000000000e-06	-5.202310e-02
3.040000000000000e-06	-5.165930e-02
3.050000000000000e-06	-5.093170e-02
3.060000000000000e-06	-5.093170e-02
3.070000000000000e-06	-5.056791e-02
3.080000000000000e-06	-4.984031e-02
3.090000000000000e-06	-4.947651e-02
3.100000000000000e-06	-4.911271e-02
3.110000000000000e-06	-4.874892e-02
3.120000000000000e-06	-4.874892e-02
3.130000000000000e-06	-4.838512e-02
3.140000000000000e-06	-4.765752e-02
3.150000000000000e-06	-4.729372e-02
3.160000000000000e-06	-4.692993e-02
3.170000000000000e-06	-4.656613e-02
3.180000000000000e-06	-4.656613e-02
3.190000000000000e-06	-4.620233e-02
3.200000000000000e-06	-4.547474e-02
3.210000000000000e-06	-4.547474e-02
